date,all_total,all_committed,all_paid
2020-01-06,62951930,37449159,25502771
2020-01-13,150641023,124972868,25668155
2020-01-20,150641023,124972868,25668155
2020-01-27,151066984,124972868,26094116
2020-02-03,161665236,134652493,27012743
2020-02-10,163926042,134972807,28953235
2020-02-17,164139476,135050574,29088902
2020-02-24,207108079,172399897,34708182
2020-03-02,231667195,192865752,38801443
2020-03-09,285501549,245588903,39912646
2020-03-16,397333608,339131965,58201643
2020-03-23,487188222,346393357,140794865
2020-03-30,561671711,374693902,186977809
2020-04-06,790465911,523017642,267448269
2020-04-13,1025371304,663008234,362363070
2020-04-20,1225327612,800944903,424382709
2020-04-27,1408948382,874350723,534597659
2020-05-04,1674423472,1053101959,621321513
2020-05-11,1806676322,1127198945,679477377
2020-05-18,1938289006,1205594048,732694958
2020-05-25,2159864062,1253112932,906751130
2020-06-01,2361472554,1283989713,1077482841
2020-06-08,2638460148,1434364946,1204095202
2020-06-15,2770234588,1491151034,1279083554
2020-06-22,3057442796,1712716076,1344726720
2020-06-29,3370300927,1842497848,1527803079
2020-07-06,3534125840,1943536101,1590589739
2020-07-13,3714880108,2065099187,1649780921
2020-07-20,3944508988,2134157490,1810351498
2020-07-27,4108738251,2263487631,1845250620
2020-08-03,4217360363,2353624961,1863735402
2020-08-10,4462769602,2552657707,1910111895
2020-08-17,4538112426,2592655685,1945456741
2020-08-24,4610638477,2610300583,2000337894
2020-08-31,4679179755,2635161696,2044018059
2020-09-07,4779945183,2669025060,2110920123
2020-09-14,4963732288,2822935341,2140796947
2020-09-21,5590062784,3187563337,2402499447
2020-09-28,5618819011,3207013246,2411805765
2020-10-05,5759930447,3264279837,2495650610
2020-10-12,5899937105,3292285630,2607651475
2020-10-19,5919677927,3304206696,2615471231
2020-10-26,5956123626,3311742335,2644381291
2020-11-02,5986874184,3323828721,2663045463
2020-11-09,6093467125,3347547089,2745920036
2020-11-16,6114578547,3357311272,2757267275
2020-11-23,6206960906,3448252149,2758708757
2020-11-30,6249508524,3481044959,2768463565
2020-12-07,6286946549,3506312479,2780634070
2020-12-14,6294961816,3509418811,2785543005
2020-12-21,6307487564,3521394553,2786093011
2020-12-28,6309094226,3521394553,2787699673
2021-01-04,6309094226,3521394553,2787699673
2021-01-11,6309094226,3521394553,2787699673
2021-01-18,6309094226,3521394553,2787699673
2020-12-31,6309094226,3521394553,2787699673
2020-12-30,6309094226,3521394553,2787699673
